,Unnamed: 0.1,Unnamed: 0,datetime,station,core,component,period,value,grade,datetime.1,station.1,core.1,component.1,period.1,value.1,grade.1,datetime.2,station.2,core.2,component.2,period.2,value.2,grade.2,datetime,station,core,component,period,value,grade
0,0.0,0.0,2022-12-06T14:00:00+01:00,mc010,,lqi,1h,2.0,2.0,2022-12-07T16:00:00+01:00,mc010,,lqi,1h,2.0,2.0,2022-12-07T16:00:00+01:00,mc010,,lqi,1h,2.0,2.0,2022-12-08T09:00:00+01:00,mc010,,lqi,1h,2.0,2.0
1,1.0,5.0,2022-12-06T14:00:00+01:00,mc014,,lqi,1h,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2,2.0,10.0,2022-12-06T14:00:00+01:00,mc018,,lqi,1h,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
3,3.0,15.0,2022-12-06T14:00:00+01:00,mc027,,lqi,1h,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
4,4.0,20.0,2022-12-06T14:00:00+01:00,mc032,,lqi,1h,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
5,5.0,25.0,2022-12-06T14:00:00+01:00,mc042,,lqi,1h,2.0,2.0,2022-12-07T16:00:00+01:00,mc014,,lqi,1h,1.0,1.0,2022-12-07T16:00:00+01:00,mc014,,lqi,1h,1.0,1.0,2022-12-08T09:00:00+01:00,mc014,,lqi,1h,2.0,2.0
6,6.0,30.0,2022-12-06T14:00:00+01:00,mc077,,lqi,1h,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
7,7.0,35.0,2022-12-06T14:00:00+01:00,mc085,,lqi,1h,3.0,3.0,,,,,,,,,,,,,,,,,,,,,
8,8.0,40.0,2022-12-06T14:00:00+01:00,mc115,,lqi,1h,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
9,9.0,45.0,2022-12-06T14:00:00+01:00,mc117,,lqi,1h,3.0,3.0,,,,,,,,,,,,,,,,,,,,,
10,10.0,50.0,2022-12-06T14:00:00+01:00,mc124,,lqi,1h,3.0,3.0,2022-12-07T16:00:00+01:00,mc018,,lqi,1h,1.0,1.0,2022-12-07T16:00:00+01:00,mc018,,lqi,1h,1.0,1.0,2022-12-08T09:00:00+01:00,mc018,,lqi,1h,2.0,2.0
11,11.0,55.0,2022-12-06T14:00:00+01:00,mc143,,lqi,1h,3.0,3.0,,,,,,,,,,,,,,,,,,,,,
12,12.0,60.0,2022-12-06T14:00:00+01:00,mc145,,lqi,1h,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
13,13.0,65.0,2022-12-06T14:00:00+01:00,mc171,,lqi,1h,3.0,3.0,,,,,,,,,,,,,,,,,,,,,
14,14.0,70.0,2022-12-06T14:00:00+01:00,mc174,,lqi,1h,3.0,3.0,,,,,,,,,,,,,,,,,,,,,
15,15.0,75.0,2022-12-06T14:00:00+01:00,mc190,,lqi,1h,3.0,3.0,2022-12-07T16:00:00+01:00,mc027,,lqi,1h,2.0,2.0,2022-12-07T16:00:00+01:00,mc027,,lqi,1h,2.0,2.0,2022-12-08T09:00:00+01:00,mc027,,lqi,1h,1.0,1.0
16,16.0,80.0,2022-12-06T14:00:00+01:00,MC221,,lqi,1h,3.0,3.0,,,,,,,,,,,,,,,,,,,,,
17,17.0,85.0,2022-12-06T14:00:00+01:00,mc282,,lqi,1h,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
18,20.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc032,,lqi,1h,2.0,2.0,2022-12-07T16:00:00+01:00,mc032,,lqi,1h,2.0,2.0,,,,,,,
19,25.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc042,,lqi,1h,2.0,2.0,2022-12-07T16:00:00+01:00,mc042,,lqi,1h,2.0,2.0,,,,,,,
20,30.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc077,,lqi,1h,2.0,2.0,2022-12-07T16:00:00+01:00,mc077,,lqi,1h,2.0,2.0,2022-12-08T09:00:00+01:00,mc032,,lqi,1h,1.0,1.0
21,35.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc085,,lqi,1h,2.0,2.0,2022-12-07T16:00:00+01:00,mc085,,lqi,1h,2.0,2.0,,,,,,,
22,40.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc115,,lqi,1h,1.0,1.0,2022-12-07T16:00:00+01:00,mc115,,lqi,1h,1.0,1.0,,,,,,,
23,45.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc117,,lqi,1h,2.0,2.0,2022-12-07T16:00:00+01:00,mc117,,lqi,1h,2.0,2.0,,,,,,,
24,50.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc124,,lqi,1h,2.0,2.0,2022-12-07T16:00:00+01:00,mc124,,lqi,1h,2.0,2.0,,,,,,,
25,55.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc143,,lqi,1h,2.0,2.0,2022-12-07T16:00:00+01:00,mc143,,lqi,1h,2.0,2.0,2022-12-08T09:00:00+01:00,mc042,,lqi,1h,2.0,2.0
26,60.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc145,,lqi,1h,2.0,2.0,2022-12-07T16:00:00+01:00,mc145,,lqi,1h,2.0,2.0,,,,,,,
27,65.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc171,,lqi,1h,2.0,2.0,2022-12-07T16:00:00+01:00,mc171,,lqi,1h,2.0,2.0,,,,,,,
28,70.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc174,,lqi,1h,2.0,2.0,2022-12-07T16:00:00+01:00,mc174,,lqi,1h,2.0,2.0,,,,,,,
29,75.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc190,,lqi,1h,2.0,2.0,2022-12-07T16:00:00+01:00,mc190,,lqi,1h,2.0,2.0,,,,,,,
30,80.0,,,,,,,,,2022-12-07T16:00:00+01:00,MC221,,lqi,1h,2.0,2.0,2022-12-07T16:00:00+01:00,MC221,,lqi,1h,2.0,2.0,2022-12-08T09:00:00+01:00,mc077,,lqi,1h,2.0,2.0
31,85.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc282,,lqi,1h,1.0,1.0,2022-12-07T16:00:00+01:00,mc282,,lqi,1h,1.0,1.0,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,mc085,,lqi,1h,2.0,2.0
40,,,,,,,,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,mc115,,lqi,1h,2.0,2.0
45,,,,,,,,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,mc117,,lqi,1h,3.0,3.0
50,,,,,,,,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,mc124,,lqi,1h,2.0,2.0
55,,,,,,,,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,mc143,,lqi,1h,3.0,3.0
60,,,,,,,,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,mc145,,lqi,1h,-1.0,-1.0
65,,,,,,,,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,mc171,,lqi,1h,2.0,2.0
70,,,,,,,,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,mc174,,lqi,1h,2.0,2.0
75,,,,,,,,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,mc190,,lqi,1h,3.0,3.0
80,,,,,,,,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,MC221,,lqi,1h,2.0,2.0
85,,,,,,,,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,mc282,,lqi,1h,2.0,2.0
