,Unnamed: 0.1,Unnamed: 0,datetime,station,core,component,period,value,grade,datetime.1,station.1,core.1,component.1,period.1,value.1,grade.1,datetime,station,core,component,period,value,grade
0,0.0,2.0,2022-12-06T14:00:00+01:00,mc010,,no2,1h,1.0,1.0,,,,,,,,,,,,,,
1,1.0,7.0,2022-12-06T14:00:00+01:00,mc014,,no2,1h,1.0,1.0,,,,,,,,,,,,,,
2,2.0,12.0,2022-12-06T14:00:00+01:00,mc018,,no2,1h,1.0,1.0,2022-12-07T16:00:00+01:00,mc010,,no2,1h,1.0,1.0,2022-12-07T16:00:00+01:00,mc010,,no2,1h,1.0,1.0
3,3.0,17.0,2022-12-06T14:00:00+01:00,mc027,,no2,1h,1.0,1.0,,,,,,,,,,,,,,
4,4.0,22.0,2022-12-06T14:00:00+01:00,mc032,,no2,1h,-1.0,-1.0,,,,,,,,,,,,,,
5,5.0,27.0,2022-12-06T14:00:00+01:00,mc042,,no2,1h,1.0,1.0,,,,,,,,,,,,,,
6,6.0,32.0,2022-12-06T14:00:00+01:00,mc077,,no2,1h,1.0,1.0,,,,,,,,,,,,,,
7,7.0,37.0,2022-12-06T14:00:00+01:00,mc085,,no2,1h,1.0,1.0,2022-12-07T16:00:00+01:00,mc014,,no2,1h,1.0,1.0,2022-12-07T16:00:00+01:00,mc014,,no2,1h,1.0,1.0
8,8.0,42.0,2022-12-06T14:00:00+01:00,mc115,,no2,1h,1.0,1.0,,,,,,,,,,,,,,
9,9.0,47.0,2022-12-06T14:00:00+01:00,mc117,,no2,1h,1.0,1.0,,,,,,,,,,,,,,
10,10.0,52.0,2022-12-06T14:00:00+01:00,mc124,,no2,1h,1.0,1.0,,,,,,,,,,,,,,
11,11.0,57.0,2022-12-06T14:00:00+01:00,mc143,,no2,1h,1.0,1.0,,,,,,,,,,,,,,
12,12.0,62.0,2022-12-06T14:00:00+01:00,mc145,,no2,1h,1.0,1.0,2022-12-07T16:00:00+01:00,mc018,,no2,1h,1.0,1.0,2022-12-07T16:00:00+01:00,mc018,,no2,1h,1.0,1.0
13,13.0,67.0,2022-12-06T14:00:00+01:00,mc171,,no2,1h,1.0,1.0,,,,,,,,,,,,,,
14,14.0,72.0,2022-12-06T14:00:00+01:00,mc174,,no2,1h,1.0,1.0,,,,,,,,,,,,,,
15,15.0,77.0,2022-12-06T14:00:00+01:00,mc190,,no2,1h,1.0,1.0,,,,,,,,,,,,,,
16,16.0,82.0,2022-12-06T14:00:00+01:00,MC221,,no2,1h,1.0,1.0,,,,,,,,,,,,,,
17,17.0,87.0,2022-12-06T14:00:00+01:00,mc282,,no2,1h,1.0,1.0,2022-12-07T16:00:00+01:00,mc027,,no2,1h,1.0,1.0,2022-12-07T16:00:00+01:00,mc027,,no2,1h,1.0,1.0
18,22.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc032,,no2,1h,1.0,1.0,,,,,,,
19,27.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc042,,no2,1h,1.0,1.0,,,,,,,
20,32.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc077,,no2,1h,1.0,1.0,,,,,,,
21,37.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc085,,no2,1h,1.0,1.0,,,,,,,
22,42.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc115,,no2,1h,1.0,1.0,2022-12-07T16:00:00+01:00,mc032,,no2,1h,1.0,1.0
23,47.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc117,,no2,1h,2.0,2.0,,,,,,,
24,52.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc124,,no2,1h,2.0,2.0,,,,,,,
25,57.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc143,,no2,1h,2.0,2.0,,,,,,,
26,62.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc145,,no2,1h,1.0,1.0,,,,,,,
27,67.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc171,,no2,1h,2.0,2.0,2022-12-07T16:00:00+01:00,mc042,,no2,1h,1.0,1.0
28,72.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc174,,no2,1h,2.0,2.0,,,,,,,
29,77.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc190,,no2,1h,2.0,2.0,,,,,,,
30,82.0,,,,,,,,,2022-12-07T16:00:00+01:00,MC221,,no2,1h,2.0,2.0,,,,,,,
31,87.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc282,,no2,1h,1.0,1.0,,,,,,,
32,,,,,,,,,,,,,,,,,2022-12-07T16:00:00+01:00,mc077,,no2,1h,1.0,1.0
37,,,,,,,,,,,,,,,,,2022-12-07T16:00:00+01:00,mc085,,no2,1h,1.0,1.0
42,,,,,,,,,,,,,,,,,2022-12-07T16:00:00+01:00,mc115,,no2,1h,1.0,1.0
47,,,,,,,,,,,,,,,,,2022-12-07T16:00:00+01:00,mc117,,no2,1h,2.0,2.0
52,,,,,,,,,,,,,,,,,2022-12-07T16:00:00+01:00,mc124,,no2,1h,2.0,2.0
57,,,,,,,,,,,,,,,,,2022-12-07T16:00:00+01:00,mc143,,no2,1h,2.0,2.0
62,,,,,,,,,,,,,,,,,2022-12-07T16:00:00+01:00,mc145,,no2,1h,1.0,1.0
67,,,,,,,,,,,,,,,,,2022-12-07T16:00:00+01:00,mc171,,no2,1h,2.0,2.0
72,,,,,,,,,,,,,,,,,2022-12-07T16:00:00+01:00,mc174,,no2,1h,2.0,2.0
77,,,,,,,,,,,,,,,,,2022-12-07T16:00:00+01:00,mc190,,no2,1h,2.0,2.0
82,,,,,,,,,,,,,,,,,2022-12-07T16:00:00+01:00,MC221,,no2,1h,2.0,2.0
87,,,,,,,,,,,,,,,,,2022-12-07T16:00:00+01:00,mc282,,no2,1h,1.0,1.0
