,Unnamed: 0.1,Unnamed: 0,datetime,station,core,component,period,value,grade,datetime.1,station.1,core.1,component.1,period.1,value.1,grade.1,datetime,station,core,component,period,value,grade
0,0.0,3.0,2022-12-06T14:00:00+01:00,mc010,,o3,1h,1.0,1.0,,,,,,,,,,,,,,
1,1.0,8.0,2022-12-06T14:00:00+01:00,mc014,,o3,1h,,,,,,,,,,,,,,,,
2,2.0,13.0,2022-12-06T14:00:00+01:00,mc018,,o3,1h,,,,,,,,,,,,,,,,
3,3.0,18.0,2022-12-06T14:00:00+01:00,mc027,,o3,1h,1.0,1.0,2022-12-07T16:00:00+01:00,mc010,,o3,1h,2.0,2.0,2022-12-08T09:00:00+01:00,mc010,,o3,1h,1.0,1.0
4,4.0,23.0,2022-12-06T14:00:00+01:00,mc032,,o3,1h,-1.0,-1.0,,,,,,,,,,,,,,
5,5.0,28.0,2022-12-06T14:00:00+01:00,mc042,,o3,1h,1.0,1.0,,,,,,,,,,,,,,
6,6.0,33.0,2022-12-06T14:00:00+01:00,mc077,,o3,1h,1.0,1.0,,,,,,,,,,,,,,
7,7.0,38.0,2022-12-06T14:00:00+01:00,mc085,,o3,1h,1.0,1.0,,,,,,,,,,,,,,
8,8.0,43.0,2022-12-06T14:00:00+01:00,mc115,,o3,1h,,,2022-12-07T16:00:00+01:00,mc014,,o3,1h,,,2022-12-08T09:00:00+01:00,mc014,,o3,1h,,
9,9.0,48.0,2022-12-06T14:00:00+01:00,mc117,,o3,1h,,,,,,,,,,,,,,,,
10,10.0,53.0,2022-12-06T14:00:00+01:00,mc124,,o3,1h,,,,,,,,,,,,,,,,
11,11.0,58.0,2022-12-06T14:00:00+01:00,mc143,,o3,1h,,,,,,,,,,,,,,,,
12,12.0,63.0,2022-12-06T14:00:00+01:00,mc145,,o3,1h,1.0,1.0,,,,,,,,,,,,,,
13,13.0,68.0,2022-12-06T14:00:00+01:00,mc171,,o3,1h,,,2022-12-07T16:00:00+01:00,mc018,,o3,1h,,,2022-12-08T09:00:00+01:00,mc018,,o3,1h,,
14,14.0,73.0,2022-12-06T14:00:00+01:00,mc174,,o3,1h,1.0,1.0,,,,,,,,,,,,,,
15,15.0,78.0,2022-12-06T14:00:00+01:00,mc190,,o3,1h,,,,,,,,,,,,,,,,
16,16.0,83.0,2022-12-06T14:00:00+01:00,MC221,,o3,1h,,,,,,,,,,,,,,,,
17,17.0,88.0,2022-12-06T14:00:00+01:00,mc282,,o3,1h,,,,,,,,,,,,,,,,
18,18.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc027,,o3,1h,2.0,2.0,2022-12-08T09:00:00+01:00,mc027,,o3,1h,1.0,1.0
19,23.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc032,,o3,1h,2.0,2.0,,,,,,,
20,28.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc042,,o3,1h,2.0,2.0,,,,,,,
21,33.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc077,,o3,1h,2.0,2.0,,,,,,,
22,38.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc085,,o3,1h,2.0,2.0,,,,,,,
23,43.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc115,,o3,1h,,,2022-12-08T09:00:00+01:00,mc032,,o3,1h,1.0,1.0
24,48.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc117,,o3,1h,,,,,,,,,
25,53.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc124,,o3,1h,,,,,,,,,
26,58.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc143,,o3,1h,,,,,,,,,
27,63.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc145,,o3,1h,2.0,2.0,,,,,,,
28,68.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc171,,o3,1h,,,2022-12-08T09:00:00+01:00,mc042,,o3,1h,1.0,1.0
29,73.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc174,,o3,1h,1.0,1.0,,,,,,,
30,78.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc190,,o3,1h,,,,,,,,,
31,83.0,,,,,,,,,2022-12-07T16:00:00+01:00,MC221,,o3,1h,,,,,,,,,
32,88.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc282,,o3,1h,,,,,,,,,
33,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,mc077,,o3,1h,1.0,1.0
38,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,mc085,,o3,1h,2.0,2.0
43,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,mc115,,o3,1h,,
48,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,mc117,,o3,1h,,
53,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,mc124,,o3,1h,,
58,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,mc143,,o3,1h,,
63,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,mc145,,o3,1h,-1.0,-1.0
68,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,mc171,,o3,1h,,
73,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,mc174,,o3,1h,1.0,1.0
78,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,mc190,,o3,1h,,
83,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,MC221,,o3,1h,,
88,,,,,,,,,,,,,,,,,2022-12-08T09:00:00+01:00,mc282,,o3,1h,,
