,Unnamed: 0.1,Unnamed: 0,datetime,station,core,component,period,value,grade,datetime.1,station.1,core.1,component.1,period.1,value.1,grade.1,datetime,station,core,component,period,value,grade
0,0.0,1.0,2022-12-06T14:00:00+01:00,mc010,,pm10,24h,2.0,2.0,,,,,,,,,,,,,,
1,1.0,6.0,2022-12-06T14:00:00+01:00,mc014,,pm10,24h,,,2022-12-07T16:00:00+01:00,mc010,,pm10,24h,2.0,2.0,2022-12-08T09:00:00+01:00,mc010,,pm10,24h,1.0,1.0
2,2.0,11.0,2022-12-06T14:00:00+01:00,mc018,,pm10,24h,,,,,,,,,,,,,,,,
3,3.0,16.0,2022-12-06T14:00:00+01:00,mc027,,pm10,24h,,,,,,,,,,,,,,,,
4,4.0,21.0,2022-12-06T14:00:00+01:00,mc032,,pm10,24h,2.0,2.0,,,,,,,,,,,,,,
5,5.0,26.0,2022-12-06T14:00:00+01:00,mc042,,pm10,24h,2.0,2.0,,,,,,,,,,,,,,
6,6.0,31.0,2022-12-06T14:00:00+01:00,mc077,,pm10,24h,2.0,2.0,2022-12-07T16:00:00+01:00,mc014,,pm10,24h,,,2022-12-08T09:00:00+01:00,mc014,,pm10,24h,,
7,7.0,36.0,2022-12-06T14:00:00+01:00,mc085,,pm10,24h,3.0,3.0,,,,,,,,,,,,,,
8,8.0,41.0,2022-12-06T14:00:00+01:00,mc115,,pm10,24h,,,,,,,,,,,,,,,,
9,9.0,46.0,2022-12-06T14:00:00+01:00,mc117,,pm10,24h,3.0,3.0,,,,,,,,,,,,,,
10,10.0,51.0,2022-12-06T14:00:00+01:00,mc124,,pm10,24h,3.0,3.0,,,,,,,,,,,,,,
11,11.0,56.0,2022-12-06T14:00:00+01:00,mc143,,pm10,24h,3.0,3.0,2022-12-07T16:00:00+01:00,mc018,,pm10,24h,,,2022-12-08T09:00:00+01:00,mc018,,pm10,24h,,
12,12.0,61.0,2022-12-06T14:00:00+01:00,mc145,,pm10,24h,,,,,,,,,,,,,,,,
13,13.0,66.0,2022-12-06T14:00:00+01:00,mc171,,pm10,24h,3.0,3.0,,,,,,,,,,,,,,
14,14.0,71.0,2022-12-06T14:00:00+01:00,mc174,,pm10,24h,3.0,3.0,,,,,,,,,,,,,,
15,15.0,76.0,2022-12-06T14:00:00+01:00,mc190,,pm10,24h,3.0,3.0,,,,,,,,,,,,,,
16,16.0,81.0,2022-12-06T14:00:00+01:00,MC221,,pm10,24h,3.0,3.0,2022-12-07T16:00:00+01:00,mc027,,pm10,24h,,,2022-12-08T09:00:00+01:00,mc027,,pm10,24h,,
17,17.0,86.0,2022-12-06T14:00:00+01:00,mc282,,pm10,24h,,,,,,,,,,,,,,,,
18,21.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc032,,pm10,24h,1.0,1.0,,,,,,,
19,26.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc042,,pm10,24h,2.0,2.0,,,,,,,
20,31.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc077,,pm10,24h,2.0,2.0,,,,,,,
21,36.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc085,,pm10,24h,1.0,1.0,2022-12-08T09:00:00+01:00,mc032,,pm10,24h,1.0,1.0
22,41.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc115,,pm10,24h,,,,,,,,,
23,46.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc117,,pm10,24h,2.0,2.0,,,,,,,
24,51.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc124,,pm10,24h,2.0,2.0,,,,,,,
25,56.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc143,,pm10,24h,2.0,2.0,,,,,,,
26,61.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc145,,pm10,24h,,,2022-12-08T09:00:00+01:00,mc042,,pm10,24h,2.0,2.0
27,66.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc171,,pm10,24h,2.0,2.0,,,,,,,
28,71.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc174,,pm10,24h,2.0,2.0,,,,,,,
29,76.0,,,,,,,,,2022-12-07T16:00:00+01:00,mc190,,pm10,24h,2.0,2.0,,,,,,,
30,81.0,,,,,,,,,2022-12-07T16:00:00+01:00,MC221,,pm10,24h,2.0,2.0,,,,,,,
