,datetime,station,core,component,period,value,grade
0,2022-12-06T14:00:00+01:00,mc010,,lqi,1h,2.0,2.0
1,2022-12-06T14:00:00+01:00,mc014,,lqi,1h,0.0,0.0
2,2022-12-06T14:00:00+01:00,mc018,,lqi,1h,0.0,0.0
3,2022-12-06T14:00:00+01:00,mc027,,lqi,1h,0.0,0.0
4,2022-12-06T14:00:00+01:00,mc032,,lqi,1h,-1.0,-1.0
5,2022-12-06T14:00:00+01:00,mc042,,lqi,1h,2.0,2.0
6,2022-12-06T14:00:00+01:00,mc077,,lqi,1h,2.0,2.0
7,2022-12-06T14:00:00+01:00,mc085,,lqi,1h,3.0,3.0
8,2022-12-06T14:00:00+01:00,mc115,,lqi,1h,0.0,0.0
9,2022-12-06T14:00:00+01:00,mc117,,lqi,1h,3.0,3.0
10,2022-12-06T14:00:00+01:00,mc124,,lqi,1h,3.0,3.0
11,2022-12-06T14:00:00+01:00,mc143,,lqi,1h,3.0,3.0
12,2022-12-06T14:00:00+01:00,mc145,,lqi,1h,0.0,0.0
13,2022-12-06T14:00:00+01:00,mc171,,lqi,1h,3.0,3.0
14,2022-12-06T14:00:00+01:00,mc174,,lqi,1h,3.0,3.0
15,2022-12-06T14:00:00+01:00,mc190,,lqi,1h,3.0,3.0
16,2022-12-06T14:00:00+01:00,MC221,,lqi,1h,3.0,3.0
17,2022-12-06T14:00:00+01:00,mc282,,lqi,1h,0.0,0.0
