,datetime,station,core,component,period,value,grade
0,2022-12-06T14:00:00+01:00,mc010,,no2,1h,1.0,1.0
1,2022-12-06T14:00:00+01:00,mc014,,no2,1h,1.0,1.0
2,2022-12-06T14:00:00+01:00,mc018,,no2,1h,1.0,1.0
3,2022-12-06T14:00:00+01:00,mc027,,no2,1h,1.0,1.0
4,2022-12-06T14:00:00+01:00,mc032,,no2,1h,-1.0,-1.0
5,2022-12-06T14:00:00+01:00,mc042,,no2,1h,1.0,1.0
6,2022-12-06T14:00:00+01:00,mc077,,no2,1h,1.0,1.0
7,2022-12-06T14:00:00+01:00,mc085,,no2,1h,1.0,1.0
8,2022-12-06T14:00:00+01:00,mc115,,no2,1h,1.0,1.0
9,2022-12-06T14:00:00+01:00,mc117,,no2,1h,1.0,1.0
10,2022-12-06T14:00:00+01:00,mc124,,no2,1h,1.0,1.0
11,2022-12-06T14:00:00+01:00,mc143,,no2,1h,1.0,1.0
12,2022-12-06T14:00:00+01:00,mc145,,no2,1h,1.0,1.0
13,2022-12-06T14:00:00+01:00,mc171,,no2,1h,1.0,1.0
14,2022-12-06T14:00:00+01:00,mc174,,no2,1h,1.0,1.0
15,2022-12-06T14:00:00+01:00,mc190,,no2,1h,1.0,1.0
16,2022-12-06T14:00:00+01:00,MC221,,no2,1h,1.0,1.0
17,2022-12-06T14:00:00+01:00,mc282,,no2,1h,1.0,1.0
