,datetime,station,core,component,period,value,grade
0,2022-12-06T14:00:00+01:00,mc010,,o3,1h,1.0,1.0
1,2022-12-06T14:00:00+01:00,mc014,,o3,1h,,
2,2022-12-06T14:00:00+01:00,mc018,,o3,1h,,
3,2022-12-06T14:00:00+01:00,mc027,,o3,1h,1.0,1.0
4,2022-12-06T14:00:00+01:00,mc032,,o3,1h,-1.0,-1.0
5,2022-12-06T14:00:00+01:00,mc042,,o3,1h,1.0,1.0
6,2022-12-06T14:00:00+01:00,mc077,,o3,1h,1.0,1.0
7,2022-12-06T14:00:00+01:00,mc085,,o3,1h,1.0,1.0
8,2022-12-06T14:00:00+01:00,mc115,,o3,1h,,
9,2022-12-06T14:00:00+01:00,mc117,,o3,1h,,
10,2022-12-06T14:00:00+01:00,mc124,,o3,1h,,
11,2022-12-06T14:00:00+01:00,mc143,,o3,1h,,
12,2022-12-06T14:00:00+01:00,mc145,,o3,1h,1.0,1.0
13,2022-12-06T14:00:00+01:00,mc171,,o3,1h,,
14,2022-12-06T14:00:00+01:00,mc174,,o3,1h,1.0,1.0
15,2022-12-06T14:00:00+01:00,mc190,,o3,1h,,
16,2022-12-06T14:00:00+01:00,MC221,,o3,1h,,
17,2022-12-06T14:00:00+01:00,mc282,,o3,1h,,
