Station;018 Schöneberg;018 Schöneberg;018 Schöneberg
Messkomponente;Stickstoffdioxid;Stickstoffmonoxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Monatswerte;Monatswerte;Monatswerte

Jan 2010;40;12;59
Feb 2010;39;7;51
Mär 2010;32;6;42
Apr 2010;28;5;35
Mai 2010;22;3;26
Jun 2010;20;3;24
Jul 2010;21;2;24
Aug 2010;23;3;28
Sep 2010;29;8;40
Okt 2010;34;12;53
Nov 2010;30;12;48
Dez 2010;40;15;63
Jan 2011;36;11;53
Feb 2011;31;6;40
Mär 2011;41;11;57
Apr 2011;27;5;35
Mai 2011;26;3;30
Jun 2011;19;2;21
Jul 2011;18;3;22
Aug 2011;23;4;28
Sep 2011;31;15;55
Okt 2011;31;15;54
Nov 2011;38;23;73
Dez 2011;26;6;36
Jan 2012;30;8;42
Feb 2012;33;8;45
Mär 2012;29;7;40
Apr 2012;27;4;34
Mai 2012;20;3;24
Jun 2012;19;2;23
Jul 2012;19;3;24
Aug 2012;24;3;28
Sep 2012;27;6;36
Okt 2012;33;18;60
Nov 2012;33;19;62
Dez 2012;34;15;58
Jan 2013;31;8;42
Feb 2013;29;5;37
Mär 2013;33;5;41
Apr 2013;28;5;36
Mai 2013;22;3;26
Jun 2013;17;2;20
Jul 2013;19;3;23
Aug 2013;25;4;31
Sep 2013;25;6;33
Okt 2013;32;11;48
Nov 2013;32;11;48
Dez 2013;31;14;52
Jan 2014;33;11;51
Feb 2014;37;11;54
Mär 2014;35;11;52
Apr 2014;26;4;32
Mai 2014;19;3;23
Jun 2014;20;4;26
Jul 2014;20;2;22
Aug 2014;21;3;26
Sep 2014;26;5;34
Okt 2014;30;15;52
Nov 2014;28;16;52
Dez 2014;27;9;41
Jan 2015;26;7;37
Feb 2015;34;12;52
Mär 2015;30;6;39
Apr 2015;24;5;31
Mai 2015;22;3;26
Jun 2015;17;2;20
Jul 2015;18;3;21
Aug 2015;23;3;28
Sep 2015;25;5;32
Okt 2015;34;15;58
Nov 2015;29;22;63
Dez 2015;28;9;41
Jan 2016;33;12;52
Feb 2016;27;7;37
Mär 2016;29;9;43
Apr 2016;27;5;35
Mai 2016;20;2;23
Jun 2016;21;2;24
Jul 2016;17;2;20
Aug 2016;20;3;25
Sep 2016;29;4;36
Okt 2016;24;8;37
Nov 2016;33;17;60
Dez 2016;32;13;52
Jan 2017;36;10;52
Feb 2017;34;11;50
Mär 2017;31;7;41
Apr 2017;20;2;24
Mai 2017;20;2;23
Jun 2017;16;2;18
Jul 2017;17;2;20
Aug 2017;20;3;25
Sep 2017;24;6;33
Okt 2017;22;8;33
Nov 2017;28;8;41
Dez 2017;25;6;35
Jan 2018;27;8;39
Feb 2018;34;8;46
Mär 2018;31;5;39
Apr 2018;24;3;29
Mai 2018;18;2;20
Jun 2018;14;1;16
Jul 2018;16;1;18
Aug 2018;18;2;20
Sep 2018;26;4;32
Okt 2018;32;12;51
Nov 2018;32;14;54
Dez 2018;24;6;33
Jan 2019;25;5;32
Feb 2019;34;10;49
Mär 2019;18;2;22
Apr 2019;20;2;22
Mai 2019;15;1;17
Jun 2019;14;1;15
Jul 2019;12;1;14
Aug 2019;19;2;22
Sep 2019;20;2;24
Okt 2019;26;7;37
Nov 2019;27;9;41
Dez 2019;27;8;39
Jan 2020;26;5;33
Feb 2020;18;2;21
Mär 2020;22;3;26
Apr 2020;18;2;20
Mai 2020;13;1;15
Jun 2020;12;1;13
Jul 2020;11;1;13
Aug 2020;17;1;18
Sep 2020;23;3;28
Okt 2020;19;5;26
Nov 2020;21;5;29
Dez 2020;23;9;36
Jan 2021;20;3;26
Feb 2021;28;7;39
Mär 2021;24;8;36
Apr 2021;15;1;17
Mai 2021;12;1;14
Jun 2021;12;1;13
Jul 2021;10;1;12
Aug 2021;11;1;12
Sep 2021;17;2;20
Okt 2021;20;3;25
Nov 2021;20;5;28
Dez 2021;23;5;31
Jan 2022;16;2;19
Feb 2022;14;2;16
Mär 2022;25;5;32
Apr 2022;13;2;14
Mai 2022;11;2;12
Jun 2022;11;2;12
Jul 2022;9;2;10
Aug 2022;13;2;15
Sep 2022;15;3;19
Okt 2022;21;7;30
Nov 2022;22;8;34
