Station;027 Marienfelde;027 Marienfelde;027 Marienfelde;027 Marienfelde;027 Marienfelde
Messkomponente;Feinstaub (PM10);Stickstoffdioxid;Stickstoffmonoxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Monatswerte;Monatswerte;Monatswerte;Monatswerte;Monatswerte

Jan 2010;51;28;6;37;29
Feb 2010;36;21;3;25;51
Mär 2010;23;18;3;22;57
Apr 2010;24;15;2;18;69
Mai 2010;19;11;1;14;57
Jun 2010;19;12;2;14;72
Jul 2010;23;12;1;14;87
Aug 2010;17;11;1;13;55
Sep 2010;16;15;3;19;39
Okt 2010;24;18;4;25;30
Nov 2010;17;18;5;26;28
Dez 2010;29;27;6;36;29
Jan 2011;;21;3;25;35
Feb 2011;;21;2;24;
Mär 2011;;24;3;28;52
Apr 2011;;17;2;19;71
Mai 2011;;14;1;16;78
Jun 2011;;10;1;11;74
Jul 2011;;8;1;10;61
Aug 2011;;11;1;13;53
Sep 2011;;14;3;18;41
Okt 2011;;17;5;24;31
Nov 2011;;27;10;42;15
Dez 2011;;13;2;15;40
Jan 2012;;17;4;22;38
Feb 2012;;24;4;30;39
Mär 2012;;18;2;22;51
Apr 2012;;14;2;16;67
Mai 2012;;10;1;11;76
Jun 2012;;9;1;10;66
Jul 2012;;10;1;11;61
Aug 2012;;13;1;15;59
Sep 2012;;13;2;16;48
Okt 2012;;16;4;22;32
Nov 2012;;20;5;28;20
Dez 2012;;22;6;30;27
Jan 2013;;18;2;22;38
Feb 2013;;20;2;23;42
Mär 2013;;20;2;23;69
Apr 2013;;16;1;18;69
Mai 2013;;12;1;13;60
Jun 2013;;10;1;11;65
Jul 2013;;11;1;12;68
Aug 2013;;14;2;16;59
Sep 2013;;12;2;16;36
Okt 2013;;16;3;20;30
Nov 2013;;19;3;23;27
Dez 2013;;17;4;23;29
Jan 2014;;20;3;24;27
Feb 2014;;17;2;19;38
Mär 2014;;21;4;27;45
Apr 2014;;14;2;17;61
Mai 2014;;10;1;11;65
Jun 2014;;9;1;11;64
Jul 2014;;11;1;12;68
Aug 2014;;13;1;14;60
Sep 2014;;15;1;17;48
Okt 2014;;18;3;23;25
Nov 2014;;20;5;27;16
Dez 2014;;17;3;21;32
Jan 2015;;13;1;15;41
Feb 2015;;18;3;22;40
Mär 2015;;16;2;19;53
Apr 2015;;13;2;16;65
Mai 2015;;10;1;12;70
Jun 2015;;9;1;10;73
Jul 2015;;8;1;9;73
Aug 2015;;12;1;13;85
Sep 2015;;13;2;16;47
Okt 2015;;21;5;28;27
Nov 2015;;16;7;26;32
Dez 2015;;16;2;19;33
Jan 2016;;20;3;25;28
Feb 2016;;15;2;17;47
Mär 2016;;17;3;20;49
Apr 2016;;13;2;15;63
Mai 2016;;10;1;12;81
Jun 2016;;9;1;10;71
Jul 2016;;9;1;10;67
Aug 2016;;10;1;12;56
Sep 2016;;15;1;17;67
Okt 2016;;14;3;18;22
Nov 2016;;21;6;31;23
Dez 2016;;22;4;28;26
Jan 2017;;23;4;29;32
Feb 2017;;19;1;21;44
Mär 2017;;16;2;19;55
Apr 2017;;11;1;13;65
Mai 2017;;11;1;13;69
Jun 2017;;8;1;9;64
Jul 2017;;8;1;9;54
Aug 2017;;10;1;11;57
Sep 2017;;12;2;14;38
Okt 2017;;11;2;14;36
Nov 2017;;15;2;18;29
Dez 2017;;14;2;17;35
Jan 2018;;14;3;18;37
Feb 2018;;22;3;26;41
Mär 2018;;18;2;21;50
Apr 2018;;11;1;13;70
Mai 2018;;9;1;10;83
Jun 2018;;8;0;8;77
Jul 2018;;9;1;10;78
Aug 2018;;11;1;12;82
Sep 2018;;13;1;14;62
Okt 2018;;17;3;22;43
Nov 2018;;20;6;30;16
Dez 2018;;14;1;15;29
Jan 2019;;14;1;15;42
Feb 2019;;20;3;24;40
Mär 2019;;10;1;11;61
Apr 2019;;12;1;13;82
Mai 2019;;9;1;10;71
Jun 2019;;7;0;8;92
Jul 2019;;7;1;8;69
Aug 2019;;10;1;11;72
Sep 2019;;11;1;12;52
Okt 2019;;13;3;18;34
Nov 2019;;15;2;18;17
Dez 2019;;14;1;16;31
Jan 2020;;13;1;14;37
Feb 2020;;9;1;9;56
Mär 2020;;12;1;14;60
Apr 2020;;10;1;11;75
Mai 2020;;8;1;9;68
Jun 2020;;8;1;8;70
Jul 2020;;7;1;8;58
Aug 2020;;9;1;10;74
Sep 2020;;11;1;13;53
Okt 2020;;10;1;11;35
Nov 2020;;13;2;15;27
Dez 2020;;15;3;19;21
Jan 2021;;12;1;14;33
Feb 2021;;17;2;20;42
Mär 2021;;14;3;17;54
Apr 2021;;10;1;12;68
Mai 2021;;6;0;7;68
Jun 2021;;8;1;9;82
Jul 2021;;6;1;7;64
Aug 2021;;7;1;7;58
Sep 2021;;9;1;10;49
Okt 2021;;10;1;11;43
Nov 2021;;12;2;14;31
Dez 2021;;15;2;17;28
Jan 2022;;9;2;10;47
Feb 2022;;7;2;7;60
Mär 2022;;18;3;21;59
Apr 2022;;9;2;11;69
Mai 2022;;7;2;8;73
Jun 2022;;6;2;7;79
Jul 2022;;6;2;7;72
Aug 2022;;8;2;9;70
Sep 2022;;8;2;9;46
Okt 2022;;9;2;11;32
Nov 2022;;13;3;17;22
