Station;014 Sondermessstation;014 Sondermessstation;014 Sondermessstation
Messkomponente;Stickstoffdioxid;Stickstoffmonoxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Monatswerte;Monatswerte;Monatswerte

Mär 2020;40;33;91
Apr 2020;44;35;97
Mai 2020;44;41;107
Jun 2020;49;44;115
Jul 2020;37;34;88
Aug 2020;49;31;97
Sep 2020;47;41;110
Okt 2020;34;38;92
Nov 2020;31;35;85
Dez 2020;32;40;94
Jan 2021;34;38;93
Feb 2021;45;45;115
Mär 2021;43;44;111
Apr 2021;43;39;102
Mai 2021;33;25;71
Jun 2021;48;34;99
Jul 2021;33;25;71
Aug 2021;34;31;81
Sep 2021;40;37;97
Okt 2021;34;30;80
Nov 2021;30;34;82
Dez 2021;35;41;98
Jan 2022;30;27;71
Feb 2022;25;19;54
Mär 2022;54;51;131
Apr 2022;40;32;90
Mai 2022;38;28;80
Jun 2022;42;27;82
Jul 2022;39;27;80
Aug 2022;49;36;105
Sep 2022;34;31;81
Okt 2022;31;29;75
Nov 2022;31;38;89
