Messkomponente;Feinstaub (PM10);Feinstaub (PM2,5);Stickstoffdioxid;Stickstoffmonoxid;Stickoxide;Ozon

Jan 2010;46;;26;5;33;32
Feb 2010;32;;23;3;27;
Mär 2010;20;;15;2;19;56
Apr 2010;20;;11;1;12;71
Mai 2010;16;;8;1;10;50
Jun 2010;15;;7;1;8;62
Jul 2010;19;;12;1;13;76
Aug 2010;15;;11;2;13;41
Sep 2010;16;;10;2;13;32
Okt 2010;22;;16;4;23;25
Nov 2010;16;;16;5;24;27
Dez 2010;28;;28;9;41;29
Jan 2011;17;;18;4;24;34
Feb 2011;38;;19;2;22;48
Mär 2011;27;;18;3;22;51
Apr 2011;20;;10;1;12;68
Mai 2011;16;;10;1;11;66
Jun 2011;12;;10;1;11;60
Jul 2011;11;;8;1;8;49
Aug 2011;16;;9;1;10;42
Sep 2011;17;;10;2;14;33
Okt 2011;22;;13;5;21;27
Nov 2011;43;;24;12;43;14
Dez 2011;10;;12;1;13;38
Jan 2012;21;;14;2;17;38
Feb 2012;23;;18;2;20;40
Mär 2012;22;;13;2;16;54
Apr 2012;16;;13;1;14;63
Mai 2012;19;;10;1;10;65
Jun 2012;14;;9;1;10;52
Jul 2012;15;;8;1;9;46
Aug 2012;16;;11;1;12;41
Sep 2012;13;;11;1;12;38
Okt 2012;17;;15;3;21;25
Nov 2012;20;;19;8;31;17
Dez 2012;22;;24;8;36;23
Jan 2013;23;;17;2;20;37
Feb 2013;26;;15;1;16;43
Mär 2013;26;;16;2;19;70
Apr 2013;23;;14;1;16;67
Mai 2013;17;;10;1;12;53
Jun 2013;15;;9;0;10;55
Jul 2013;16;;8;0;8;58
Aug 2013;16;;13;1;15;47
Sep 2013;13;;10;1;12;31
Okt 2013;19;;15;4;20;24
Nov 2013;13;;16;4;21;26
Dez 2013;13;;18;6;27;27
Jan 2014;29;;24;4;30;24
Feb 2014;20;;22;4;28;33
Mär 2014;29;;19;3;23;44
Apr 2014;21;;13;1;15;60
Mai 2014;13;;8;1;9;58
Jun 2014;13;;8;1;8;55
Jul 2014;19;;10;1;11;59
Aug 2014;13;;8;1;9;49
Sep 2014;23;;12;1;14;42
Okt 2014;23;;15;4;21;20
Nov 2014;30;;18;6;27;14
Dez 2014;19;;15;3;19;33
Jan 2015;15;;13;2;15;40
Feb 2015;24;;18;3;23;37
Mär 2015;23;;14;2;17;51
Apr 2015;14;;8;1;10;66
Mai 2015;13;;8;1;10;65
Jun 2015;14;;9;1;9;64
Jul 2015;15;;9;1;10;62
Aug 2015;19;;16;1;18;71
Sep 2015;12;;13;1;15;37
Okt 2015;29;;20;5;27;21
Nov 2015;16;;15;10;30;28
Dez 2015;12;;15;3;20;32
Jan 2016;26;;22;6;32;25
Feb 2016;15;;14;2;17;44
Mär 2016;19;;14;2;17;47
Apr 2016;14;;12;2;14;60
Mai 2016;15;;10;0;10;72
Jun 2016;14;;10;1;11;59
Jul 2016;12;;10;1;10;55
Aug 2016;13;;10;1;11;47
Sep 2016;21;;17;2;20;55
Okt 2016;21;;13;3;17;19
Nov 2016;19;;20;8;32;19
Dez 2016;17;;19;6;28;26
Jan 2017;22;20;22;3;26;31
Feb 2017;31;28;22;4;27;39
Mär 2017;15;11;14;1;16;53
Apr 2017;14;10;8;1;9;65
Mai 2017;17;11;10;0;10;66
Jun 2017;13;8;8;0;9;56
Jul 2017;15;9;7;0;7;47
Aug 2017;13;8;8;1;10;46
Sep 2017;15;10;10;1;12;32
Okt 2017;16;10;10;3;13;33
Nov 2017;15;12;14;2;18;28
Dez 2017;12;9;12;2;15;35
Jan 2018;15;12;14;3;19;37
Feb 2018;21;18;21;3;25;39
Mär 2018;23;19;18;2;20;48
Apr 2018;20;13;12;1;13;67
Mai 2018;20;10;10;0;11;76
Jun 2018;14;9;8;0;9;69
Jul 2018;11;7;11;1;12;69
Aug 2018;13;7;12;1;12;72
Sep 2018;15;8;13;1;15;55
Okt 2018;18;12;19;5;26;36
Nov 2018;24;21;21;10;36;15
Dez 2018;13;11;14;3;18;30
Jan 2019;15;13;13;1;15;42
Feb 2019;19;17;18;3;23;38
Mär 2019;12;10;8;1;9;60
Apr 2019;22;15;13;1;13;78
Mai 2019;12;8;9;1;10;65
Jun 2019;17;10;11;0;12;80
Jul 2019;14;8;9;1;11;61
Aug 2019;15;9;13;1;15;62
Sep 2019;12;7;12;2;14;46
Okt 2019;16;10;14;4;20;25
Nov 2019;21;16;17;4;23;15
Dez 2019;13;11;15;4;21;30
Jan 2020;14;11;13;2;16;36
Feb 2020;10;7;7;1;8;53
Mär 2020;16;12;11;1;12;58
Apr 2020;17;9;8;0;8;77
Mai 2020;11;6;7;0;8;61
Jun 2020;14;9;9;0;9;60
Jul 2020;11;6;7;1;8;50
Aug 2020;15;8;12;1;14;62
Sep 2020;15;8;12;2;15;42
Okt 2020;14;9;11;1;13;26
Nov 2020;13;11;12;3;16;24
Dez 2020;18;16;15;3;20;17
Jan 2021;12;10;10;1;11;32
Feb 2021;19;15;15;3;20;39
Mär 2021;16;12;10;2;12;52
Apr 2021;13;9;6;0;7;69
Mai 2021;11;6;5;0;5;62
Jun 2021;17;10;8;0;8;71
Jul 2021;16;9;8;1;9;51
Aug 2021;;;6;0;6;48
Sep 2021;17;11;7;1;8;38
Okt 2021;16;11;10;1;12;31
Nov 2021;16;13;11;2;15;28
Dez 2021;17;15;14;2;16;28
Jan 2022;13;11;8;2;8;45
Feb 2022;9;7;7;2;7;58
Mär 2022;;;14;2;15;58
Apr 2022;12;8;7;2;8;68
Mai 2022;14;7;7;2;7;65
Jun 2022;12;7;8;2;9;69
Jul 2022;10;6;9;2;10;63
Aug 2022;;;;;;
Sep 2022;10;6;12;2;14;37
Okt 2022;16;10;11;5;18;21
Nov 2022;18;15;14;5;21;17
