Messkomponente;Feinstaub (PM10);Feinstaub (PM2,5);Stickstoffdioxid;Stickstoffmonoxid;Stickoxide;Ozon;Benzol;Toluol

Jan 2010;59;;35;11;52;;3.3;3.0
Feb 2010;41;;36;6;45;43;2.1;2.1
Mär 2010;29;;34;6;43;47;;
Apr 2010;26;;28;4;34;63;;
Mai 2010;20;;23;3;27;50;;3.1
Jun 2010;22;;20;3;25;68;0.4;2.9
Jul 2010;24;;19;3;23;82;0.3;1.9
Aug 2010;19;;23;4;28;49;0.3;2.1
Sep 2010;19;;27;8;39;33;0.6;2.8
Okt 2010;27;;30;10;46;25;1.2;2.4
Nov 2010;20;;28;10;43;23;1.3;2.3
Dez 2010;32;;39;14;60;21;2.2;2.5
Jan 2011;23;;36;11;53;24;1.6;2.4
Feb 2011;42;;27;5;35;44;2.1;2.0
Mär 2011;35;;40;10;55;43;1.6;3.2
Apr 2011;24;;27;5;35;66;;2.4
Mai 2011;21;;24;3;29;73;0.6;2.3
Jun 2011;16;;19;2;23;68;0.3;1.8
Jul 2011;13;;19;3;23;55;0.3;1.6
Aug 2011;18;;23;4;29;49;0.3;2.0
Sep 2011;22;;32;15;55;34;0.9;4.8
Okt 2011;26;;30;14;52;25;1.5;3.8
Nov 2011;50;;34;17;60;13;3.0;4.5
Dez 2011;13;;27;6;36;29;1.3;2.7
Jan 2012;26;;28;8;40;30;1.9;3.2
Feb 2012;27;;33;8;45;32;2.0;3.7
Mär 2012;28;;30;8;42;45;1.5;3.8
Apr 2012;21;;27;5;34;60;1.2;3.4
Mai 2012;21;;19;3;23;72;0.7;3.2
Jun 2012;16;;22;3;27;60;0.6;3.9
Jul 2012;16;;21;3;27;57;0.6;4.4
Aug 2012;24;;24;4;30;53;1.1;5.0
Sep 2012;18;;29;7;39;39;1.5;6.1
Okt 2012;20;;31;16;55;24;1.9;6.4
Nov 2012;24;;34;16;59;13;2.1;6.6
Dez 2012;26;;34;14;56;17;2.2;4.8
Jan 2013;27;;28;7;38;30;1.9;2.2
Feb 2013;29;;29;5;37;37;2.0;2.6
Mär 2013;28;;30;6;40;62;1.6;2.2
Apr 2013;25;;28;5;36;63;1.3;2.7
Mai 2013;19;;22;3;27;58;1.0;3.0
Jun 2013;22;;18;3;22;63;0.9;3.6
Jul 2013;22;;20;3;24;64;1.0;3.9
Aug 2013;23;;27;5;35;58;1.1;4.4
Sep 2013;16;;26;8;38;33;0.9;2.9
Okt 2013;23;;31;11;47;24;1.1;2.7
Nov 2013;19;;33;12;50;20;1.2;2.5
Dez 2013;19;;31;14;53;20;1.3;2.2
Jan 2014;38;;29;8;42;21;1.9;2.0
Feb 2014;29;;36;9;50;26;1.4;2.1
Mär 2014;40;;34;10;50;39;1.5;2.9
Apr 2014;27;;25;4;31;59;0.9;2.1
Mai 2014;18;;21;3;26;62;0.7;2.6
Jun 2014;19;;23;5;30;59;0.8;3.1
Jul 2014;22;;20;2;24;67;0.8;2.7
Aug 2014;16;;24;4;30;53;1.0;2.8
Sep 2014;27;;26;7;37;43;1.0;4.7
Okt 2014;27;;29;14;51;19;1.1;3.0
Nov 2014;35;;26;14;48;12;1.3;2.5
Dez 2014;23;;28;10;43;25;1.0;1.9
Jan 2015;21;;28;7;38;31;1.2;1.8
Feb 2015;30;;34;11;50;29;1.5;2.2
Mär 2015;28;;29;6;38;44;1.2;1.9
Apr 2015;19;;26;6;35;58;0.9;2.1
Mai 2015;19;;25;3;30;61;0.6;1.7
Jun 2015;17;;20;3;24;67;0.4;1.6
Jul 2015;18;;20;3;25;68;0.5;2.1
Aug 2015;26;;22;3;26;79;0.7;2.3
Sep 2015;16;;26;5;33;41;0.8;2.1
Okt 2015;33;;31;14;53;22;1.7;2.8
Nov 2015;20;;32;22;65;22;1.3;2.8
Dez 2015;19;;29;9;43;23;1.1;1.9
Jan 2016;34;;33;12;52;19;2.0;2.2
Feb 2016;19;;28;6;37;36;1.3;1.7
Mär 2016;26;;31;8;44;40;1.2;1.8
Apr 2016;22;;28;6;37;55;0.9;1.8
Mai 2016;24;;22;2;26;76;0.6;1.7
Jun 2016;21;;21;2;25;66;0.5;2.0
Jul 2016;19;;19;3;23;59;0.5;2.1
Aug 2016;16;;22;5;29;48;0.5;2.0
Sep 2016;28;;29;6;37;56;0.8;2.6
Okt 2016;21;;24;9;37;18;1.1;1.9
Nov 2016;22;;34;17;60;16;1.0;2.1
Dez 2016;21;;35;15;57;20;1.2;1.6
Jan 2017;28;24;37;11;54;22;1.5;1.6
Feb 2017;39;32;33;9;47;34;2.1;1.7
Mär 2017;21;15;33;7;43;45;0.9;1.5
Apr 2017;18;13;23;4;29;60;0.6;1.1
Mai 2017;23;14;21;3;25;69;0.6;1.6
Jun 2017;18;10;20;3;24;60;0.5;2.0
Jul 2017;18;11;20;3;25;52;0.5;2.2
Aug 2017;20;11;21;4;28;55;0.6;2.3
Sep 2017;22;15;24;6;33;36;0.9;2.3
